city,number,lat,lon
Gummersbach,281,51.03,7.56
Develi,280,38.26,35.59
Lauenburg/Pommern,279,54.54,17.75
Ruda O.S,279,50.27,18.86
Gaza,278,-23.33,32.81
Kinshasa,278,-4.32,15.31
Sulecin,278,52.44,15.12
Tunceli,277,39.11,39.55
B_c Giang,276,21.28,106.19
New Jersey,276,40.08,-74.40
Sichuan,276,30.50,102.50
Drezdenko,275,52.84,15.83
Meschede,275,51.34,8.29
Langen (Hessen),274,49.99,8.67
Sliven,274,42.68,26.32
Friedland,273,53.67,13.55
Pennsylvania,272,40.97,-77.73
Cayiralan,271,39.30,35.65
Guangdong,271,23.14,113.20
La Paz,270,-16.50,-68.13
Las Palmas de Gran Canaria,270,28.13,-15.44
Tirana,270,41.32,19.90
Aydin,269,37.85,27.83
Ayran,269,37.15,37.91
Herten,269,51.59,7.14
Mettingen,269,52.32,7.78
Weingarten,269,47.81,9.64
Israel,266,30.88,35.00
Balikesir,265,39.65,27.89
Gemerek,265,39.31,36.02
Sandikli,265,38.47,30.16
Semipalatinsk,265,50.41,80.25
Toulouse,265,43.60,1.44
†berlingen,265,47.77,9.17
Bad Godesberg,264,50.68,7.15
BŸtow,264,53.35,12.49
Freising,264,48.40,11.74
Idar-Oberstein,264,49.71,7.31
Schwiebus,264,52.25,15.53
Beckum,263,51.76,8.04
Cordoba,263,37.88,-4.78
Dirschau,263,54.09,18.80
Hubei,263,31.00,112.00
Perm,263,58.01,56.25
Pyrzyce,263,53.15,14.89
Rheda-WiedenbrŸck,263,51.84,8.30
AnnahŸtte,262,51.56,13.89
Kolberg,262,54.18,15.58
Rotterdam,262,51.93,4.49
Schšneiche bei Berlin,262,52.48,13.70
BŸnyan,261,38.78,35.96
Deggendorf,261,48.83,12.96
Izmit,261,40.76,29.93
Illinois,260,40.08,-89.43
Karachi,260,24.87,67.03
Lichtenfels,260,50.15,11.07
_arkikaraa_a,260,37.92,31.31
Catania,259,37.50,15.09
Glogow,259,51.66,16.09
Neustadt am RŸbenberge,259,52.51,9.46
Tuzluca,259,35.36,34.00
Weinheim,259,49.55,8.67
Wittlich,259,49.99,6.89
Ebersbach,258,51.69,10.64
Vrsac,258,45.12,21.30
Agrigento,257,37.31,13.57
Ostercappeln,257,52.34,8.23
TangermŸnde,257,52.54,11.97
Donaueschingen,256,47.95,8.50
Isperih,256,43.72,26.83
Singapur,255,1.29,103.85
Terme,255,41.21,36.97
Traunstein,255,47.87,12.64
Datteln,254,51.65,7.34
Gšlbasi,253,39.55,32.83
Neu Kali§,253,53.18,11.29
Santo Domingo,253,18.48,-69.94
Iasi,252,47.16,27.58
Kardzhali,252,41.64,25.37
Livno,252,43.83,17.00
Duschanbe,251,38.53,68.78
Landsberg,251,48.05,10.87
Malaga,251,36.72,-4.42
Marseille,251,43.30,5.37
Bad Honnef,250,50.64,7.23
Boizenburg/Elbe,250,53.38,10.72
Dippoldiswalde,250,50.89,13.67
Duderstadt,250,51.51,10.26
Donezk,249,48.02,37.80
Schreiberhau,249,50.83,15.53
Brasov,248,45.65,25.61
Olpe,247,51.03,7.84
Zonguldak,247,41.25,31.84
Ostfildern,246,48.72,9.26
Savsat,246,41.30,42.37
Sialkot,246,32.49,74.54
Quito,245,-0.16,-78.49
Rastatt,245,48.86,8.21
Zelinograd,245,39.78,-100.45
Biberach an der Ri§,244,48.10,9.79
Westerstede,244,53.26,7.93
Balchik,243,43.43,28.16
Legnica,243,51.21,16.17
Olsztyn,243,53.78,20.48
Papenburg,243,53.08,7.39
Waldshut-Tiengen,243,47.66,8.18
Gelnhausen,242,50.20,9.19
Rasht,242,37.28,49.58
Walcz,242,53.27,16.47
Khon Kaen,241,16.35,102.68
Kirkuk,241,35.47,44.40
Mšlln,241,53.63,10.69
Silistra,241,44.12,27.26
Rawalpindi,239,33.60,73.06
Osaka,238,34.69,135.51
Salzkotten,238,51.66,8.62
Glogau,237,51.66,16.09
Norden,237,53.59,7.21
Witzenhausen,237,51.34,9.86
Diepholz,236,52.61,8.37
Neustadt an der Weinstra§e,236,49.35,8.14
Osijek,236,45.55,18.69
Wolgograd,236,48.71,44.52
Busan,235,35.19,129.06
Caykara,235,40.65,40.25
Comilla,235,23.46,91.18
Karlsburg,235,46.07,23.57
Bischkek,234,42.88,74.61
Ratzeburg,234,53.70,10.77
Bad Kissingen,233,50.20,10.08
Brilon,233,51.40,8.57
Waldbršl,233,50.88,7.62
Birmingham,232,52.48,-1.90
Bad Wildungen,231,51.10,9.15
Giresun,231,40.91,38.39
Leegebruch,231,52.72,13.19
Palma de Mallorca,231,39.57,2.65
Priboj,231,43.58,19.53
Varel,231,53.40,8.14
Alsfeld,230,50.75,9.27
Chicago,230,41.88,-87.62
Schorndorf,230,48.80,9.53
Taras,230,42.89,71.39
Ufa,230,54.73,55.95
Neustettin,229,53.71,16.69
Sanaa,229,15.34,44.20
Warburg,228,51.49,9.15
Craiova,226,44.32,23.80
Dogansehir,226,38.05,37.87
Frechen,226,50.91,6.81
Glasgow,226,37.00,-85.91
Massachusetts,226,42.38,-72.03
Santa Cruz de Tenerife,226,28.46,-16.25
Tirebolu,226,40.91,38.87
Doboj,225,44.73,18.09
Gubin,225,51.95,14.73
Zenica,225,44.20,17.91
Bartmannshagen,224,54.12,13.11
Bremervšrde,224,53.49,9.14
Karsiyaka,224,38.50,27.12
Kirchheimbolanden,223,49.67,8.01
Krasnodar,223,45.04,38.98
Zaragoza,223,41.65,-0.88
Andernach,222,50.44,7.40
Elazig,222,38.71,39.34
Forchheim,222,49.72,11.06
Manchester,222,53.48,-2.24
Michigan,222,43.62,-84.68
Ahaus,221,52.08,7.01
Antalya,221,36.90,30.69
Emmendingen,221,48.12,7.85
Gšrele,221,40.91,39.11
Gro§ Strehlitz,221,50.52,18.30
Anhui,220,32.00,117.00
Lausanne,220,46.52,6.63
Asmara,219,15.34,38.93
Clausthal-Zellerfeld,219,51.81,10.34
Mitrovica,219,46.06,17.00
Tutin,219,42.99,20.34
Pleven,218,48.49,-2.32
Suvaja,218,44.54,20.17
Bologna,217,44.49,11.34
NiebŸll,217,54.79,8.83
Mettmann,216,51.25,6.98
B_c Ninh,215,21.18,106.06
Geesthacht,215,53.44,10.37
Sulechow,215,52.09,15.63
Bassum,214,52.85,8.73
Diyarbakir,214,37.91,40.23
Seeheim-Jugenheim,214,49.76,8.64
Texas,214,31.82,-99.51
Barnaul,213,53.35,83.78
Boston,213,42.36,-71.06
Bytom,213,50.35,18.92
Zabrze,213,50.31,18.79
Delitzsch,212,51.53,12.34
K_dzierzyn-Ko_le,212,50.34,18.20
Tarnowitz,212,50.44,18.86
Agri,211,39.72,43.05
Kaman,211,36.46,50.14
Kapstadt,211,-33.93,18.42
Mahlow,211,52.36,13.41
Of,211,40.88,40.28
Esfahan,210,32.67,51.67
Kalisz,210,51.76,18.08
Mostar,210,43.40,17.85
Mutlangen,210,48.82,9.79
Tavas,209,37.57,29.07
Kigi,208,12.14,8.03
Granada,207,37.18,-3.60
Porto,207,41.15,-8.61
Werne,207,51.66,7.64
WŸrselen,207,50.82,6.13
Leszno,206,51.84,16.57
Abadan,205,30.36,48.26
Belo Horizonte,205,-19.92,-43.95
Klaipeda,205,55.71,21.13
Rheinfelden (Baden),205,47.56,7.79
Bari,204,41.13,16.86
Hunan,204,28.00,112.01
Lwow,204,49.84,24.03
Ohio,204,40.23,-82.69
Timisoara,204,45.75,21.23
Aussig,203,50.67,14.04
Euskirchen,203,50.66,6.79
Pila,203,53.15,16.74
Schweidnitz,203,50.84,16.49
Temeschburg,203,45.75,21.23
Fritzlar,202,51.13,9.27
Giza,202,30.02,31.21
Lobenstein,202,50.05,17.75
Miltenberg,202,49.70,9.25
Radom,202,51.40,21.16
Chojnice,201,53.70,17.57
Gediz,201,38.99,29.39
Zeven,201,53.30,9.28
Bad Doberan,200,54.11,11.90
Banaz,200,38.74,29.75
Kempen,200,51.09,6.10
Palma Di Montechiaro,200,37.19,13.76
Tervel,200,43.75,27.41
Tutrakan,200,44.05,26.62
Algier,199,36.78,3.06
Brest,199,48.39,-4.49
Mosbach,199,49.35,9.15
Oelde,199,51.83,8.15
Bad Reichenhall,198,47.72,12.88
Calw,198,48.72,8.74
Shaanxi,198,36.00,109.00
Szczecinek,198,53.71,16.69
Latakia,197,35.52,35.78
Memel,197,55.71,21.13
MŸhlacker,197,48.95,8.85
Werneck,197,49.98,10.10
Arbil,196,36.19,44.01
Bad Gandersheim,196,51.87,10.03
Bensheim,196,49.68,8.62
Bregenz,196,47.50,9.75
Neuhaus am Rennweg,196,50.48,11.05
Sa§nitz,196,54.52,13.64
Vancouver,196,49.26,-123.11
Edinburgh,195,55.95,-3.19
Gujranwala,195,32.15,74.19
Mosul,195,36.35,43.10
Rabat,195,34.02,-6.84
Rybnik,195,50.10,18.54
Seesen,195,51.89,10.17
Vinkovci,195,45.29,18.80
Zella-Mehlis,195,50.66,10.67
Engelskirchen,194,50.99,7.41
MarkranstŠdt,194,51.30,12.22
Rheydt,194,51.17,6.44
San Jose,194,37.34,-121.89
Hattingen,193,51.40,7.19
Merzig,193,49.44,6.64
Osterholz-Scharmbeck,193,53.23,8.79
Bleicherode,192,51.44,10.57
Hebei,192,39.00,116.00
Auckland,191,-36.85,174.77
Crailsheim,191,49.14,10.07
Geislingen an der Steige,191,48.62,9.84
Kotel,191,42.89,26.45
Marktredwitz,191,50.00,12.09
San Francisco,191,37.78,-122.42
Warin,191,53.80,11.71
Elblag,190,54.16,19.40
Ro§lau,190,51.89,12.24
Sarkisla,190,39.41,36.39
Stavenhagen,190,53.70,12.91
Strizilo,190,39.78,-100.45
Borken,189,51.84,6.86
Colombo,189,6.93,79.85
Czestochowa,189,50.81,19.11
FŸrstenfeldbruck,189,48.18,11.24
Karasu,189,41.05,30.69
Bensberg,188,50.97,7.16
Wittmund,188,53.58,7.78
Eschweiler,187,50.82,6.26
Breitenbrunn/Erzgeb.,186,50.48,12.77
Emsdetten,186,52.17,7.53
Geldern,186,52.13,6.08
Neu-Ulm,186,48.40,10.01
Wertheim,186,49.76,9.51
Balingen,185,48.27,8.86
Elgersburg,185,50.71,10.85
Gjilan,185,42.46,21.47
Hirschberg,185,50.90,15.73
Irbid,185,32.56,35.85
Ballenstedt,184,51.72,11.23
Greven,184,52.09,7.61
Kamen,184,51.59,7.66
Nantes,184,47.22,-1.56
Paracin,184,43.86,21.41
Qu_ng Ninh,184,21.17,107.20
Salvador,184,13.80,-88.91
Schšnberg,184,53.85,10.93
Hechingen,183,48.35,8.96
KŸtahya,183,39.42,29.99
Lubin,183,51.40,16.20
Olbernhau,183,50.66,13.35
Schulzendorf,183,52.36,13.60
Acipayam,182,37.43,29.35
BŸhl,182,48.73,7.09
Calbe (Saale),182,51.90,11.78
HaselŸnne,182,52.67,7.48
Liverpool,182,53.41,-2.98
Weida,182,50.78,12.06
Bristol,181,51.45,-2.60
Eichwalde,181,52.37,13.62
Manisa,181,38.62,27.43
Freetown,180,8.48,-13.27
Haskovo,180,41.93,25.56
MŸnchberg,180,50.19,11.79
Ortakšy,180,40.80,37.43
Plock,180,52.55,19.70
Dillenburg,179,50.74,8.29
Jagodina,179,43.98,21.26
Jarmen,179,53.92,13.34
Jeddah,179,21.58,39.16
JŸlich,179,50.92,6.36
Lebork,179,54.54,17.75
Wildeshausen,179,52.90,8.44
Bangalore,178,12.98,77.59
Duhok,178,36.86,42.99
Goleniow,178,53.57,14.83
Heilongjiang,178,48.00,128.00
Lehnin,178,52.33,12.77
Rennes,178,48.11,-1.68
Simferopol,178,44.95,34.10
Zoppot,178,54.44,18.57
Bulancak,177,40.94,38.23
Choszczno,177,53.17,15.42
Idil,177,57.65,39.88
Jever,177,53.57,7.90
Maputo,177,-25.97,32.57
Nšrdlingen,177,48.85,10.49
Nowa Sol,177,51.80,15.71
Villach,177,46.62,13.85
Warstein,177,51.45,8.35
Malchow,176,53.44,11.76
Sarioglan,176,39.08,35.97
Selb,176,50.17,12.13
Swerdlowsk,176,48.08,39.64
Braila,175,46.92,28.84
LŸdinghausen,175,51.77,7.44
Kadikšy,174,40.99,29.02
Mayen,174,50.33,7.22
Sibiu,174,45.80,24.15
Afyon,173,38.76,30.53
Alicante,173,38.38,-0.53
Dakar,173,14.69,-17.45
Hermannstadt,173,45.80,24.15
Schwerte,173,51.45,7.57
Tiraspol,173,46.85,29.63
Velten,173,52.69,13.18
Herborn,172,50.68,8.30
Lšcknitz,172,53.45,14.22
Shanxi,172,37.00,112.00
Steinfurt,172,52.13,7.39
Wangen im AllgŠu,172,47.69,9.83
Werdohl,172,51.26,7.76
Wittingen,172,52.73,10.74
GŸlsehir,171,38.74,34.62
Rzeszow,171,50.04,22.00
Saratow,171,51.53,46.03
Schwetzingen,171,49.38,8.57
Luzern,170,47.05,8.31
Oxford,170,51.75,-1.26
Rostow am Don,170,47.22,39.70
Wloclawek,170,52.65,19.06
Ceyhan,169,37.03,35.82
Eisenberg,169,50.97,11.86
Ispir,169,40.53,41.00
Padova,169,45.41,11.87
Porto Alegre,169,-30.03,-51.23
Miastko,168,54.00,16.98
Sousse,168,35.83,10.64
Bugojno,167,44.05,17.45
Klosterheide,167,52.99,12.97
Lietuva,167,55.35,23.75
Ploiesti,167,44.94,26.02
Recife,167,-8.06,-34.90
Utrecht,167,52.08,5.13
BrŸhl,166,50.83,6.90
Erkner,166,52.43,13.75
Pernik,166,42.61,23.04
Saraykšy,166,37.91,28.87
Landstuhl,165,49.41,7.57
Attendorn,164,51.13,7.90
Dinar,164,48.63,-2.06
Florenz,164,43.77,11.26
Guayaquil,164,-2.21,-79.90
Sinj,164,43.70,16.64
Werl,164,51.55,7.92
Bad Schwalbach,163,50.14,8.07
Gumbinnen,163,54.59,22.20
Kanagawa,163,35.29,139.39
Miskolc,163,48.10,20.79
WipperfŸrth,163,51.12,7.39
Zagan,163,51.62,15.31
Zgorzelec,163,51.15,15.01
Koktschetaw,162,39.78,-100.45
LŸbbenau,162,50.66,6.47
Schneeberg,162,50.60,12.64
Schramberg,162,48.23,8.39
Stolberg,162,50.77,6.23
Avanos,161,38.87,34.85
Bozkir,161,37.18,32.35
Grevenbroich,161,51.09,6.58
Herzberg am Harz,161,51.65,10.34
Boleslawiec,160,51.26,15.57
GŸmŸshane,160,40.21,39.31
Ha Tay,160,24.15,102.65
Kehl,160,48.57,7.82
Kolobrzeg,160,54.18,15.58
Landsberg am Lech,160,48.05,10.87
Radusa,160,52.93,29.69
Resadiye,160,40.42,37.35
Sisli,160,41.06,28.98
Buckow,159,52.57,14.08
Calau,159,51.75,13.95
Marienburg,159,54.04,19.03
Altštting,158,48.23,12.68
Derventa,158,44.98,17.91
Dormagen,158,51.09,6.84
Erkelenz,158,51.08,6.32
Hemer,158,51.39,7.77
Lemberg,158,49.84,24.03
Sjenica,158,43.27,20.00
Temirtau,158,50.05,72.96
Delhi,157,28.66,77.23
Gniezno,157,52.54,17.60
GŸnzburg,157,48.45,10.28
Jerewan,157,40.17,44.55
Jilin,157,43.00,125.98
Karaman,157,37.18,33.34
Subotica,157,46.10,19.66
Bad Tšlz,156,47.76,11.56
Brisbane,156,-27.47,153.02
Florida,156,27.76,-81.46
Galati,156,45.43,28.05
Sinsheim,156,49.26,8.88
Waldenburg/Schlesien,156,39.78,-100.45
HŸnfeld,155,50.67,9.77
Kahramanmaras,155,37.59,36.90
Pancevo,155,44.87,20.64
Tianjin,155,39.12,117.20
Wattenscheid,155,51.48,7.13
Araban,154,37.43,37.69
Ayancik,154,41.83,34.60
Baalbeck,154,34.01,36.21
Bad Driburg,154,51.74,9.02
Devrek,154,41.17,31.94
Drawsko Pomorskie,154,53.53,15.81
Mirow,154,53.28,12.82
QuakenbrŸck,154,52.67,7.96
Sorau,154,51.64,15.14
Stara Zagora,154,42.46,25.56
Zepernick,154,52.66,13.52
Kronstadt,153,59.99,29.77
Meerbusch,153,51.27,6.68
Ochsenfurt,153,49.67,10.07
Preu§isch Stargard,153,53.97,18.53
Waldheim,153,51.08,13.02
Wejherowo,153,54.61,18.25
Westerland,153,54.91,8.31
Besni,152,37.61,37.87
Bitburg,152,49.97,6.52
Cambridge,152,52.20,0.12
Fujian,152,26.55,117.84
Wolfhagen,152,51.33,9.17
ZŸllichau,152,52.09,15.63
Bandung,151,-6.93,107.60
Biesenthal,151,52.76,13.66
Eberbach,151,48.93,8.07
Edirne,151,41.68,26.56
Edmonton,151,53.53,-113.51
Genua,151,44.41,8.93
Geseke,151,51.64,8.51
Kavala,151,40.94,24.41
Palu,151,-5.44,120.19
Rijeka,151,45.33,14.44
Brehna,150,51.56,12.20
Eriwan,150,40.18,44.51
Kubrat,150,43.80,26.50
Lahnstein,150,50.31,7.60
Lehrte,150,52.37,9.97
Venedig,150,45.44,12.33
Bad SŠckingen,149,47.55,7.95
Bialogard,149,54.01,15.99
Bogazliyan,149,39.24,35.30
Bolu,149,40.73,31.61
Burgwedel,149,52.50,9.87
Bytow,149,54.17,17.49
Ikizdere,149,40.78,40.56
Laupheim,149,48.23,9.88
Lille,149,50.63,3.07
Mulhouse,149,47.75,7.34
…hringen,149,49.20,9.50
Osmaniye,149,37.07,36.26
Ottawa,149,45.42,-75.69
Wittenburg,149,53.51,11.08
Bingšl,148,38.89,40.50
Erbach,148,49.63,9.01
Ghazni,148,33.54,68.41
Lengerich,148,52.19,7.85
Orenburg,148,51.77,55.10
Orsk,148,51.23,58.47
Weilburg,148,50.48,8.27
Adiyaman,147,37.76,38.28
Cali,147,3.43,-76.51
Groningen,147,53.22,6.56
Lugansk,147,48.57,39.32
Turek,147,52.02,18.50
Achern,146,48.63,8.07
Beelitz,146,52.24,12.97
Bilbao,146,43.26,-2.93
Darende,146,38.56,37.60
Hettstedt,146,51.65,11.50
Imranli,146,39.78,38.18
Taranto,146,40.47,17.24
Versailles,146,48.80,2.13
Arhus,145,56.15,10.21
FŸssen,145,47.57,10.70
Hendek,145,40.80,30.72
Hofgeismar,145,51.50,9.38
Sisak,145,45.47,16.37
Damme,144,51.26,3.29
Illertissen,144,48.22,10.11
Kirikhan,144,36.52,36.41
Konitz,144,53.70,17.57
Naltschik,144,43.49,43.62
Neisse,144,51.36,14.97
Urus-Martan,144,43.13,45.54
Coswig,143,51.13,13.58
Dieburg,143,42.61,25.49
Geilenkirchen,143,50.96,6.12
Kaltenkirchen,143,53.84,9.96
Karlsbad,143,50.23,12.87
Rahden,143,52.43,8.62
Stadtlohn,143,51.99,6.92
Wadern,143,49.54,6.89
Yambol,143,42.49,26.50
Debrecen,142,47.53,21.63
Gomel,142,37.74,-3.07
Hohenstein-Ernstthal,142,50.80,12.71
Arnswalde,141,53.17,15.42
Kartal,141,40.92,29.20
Limbach-Oberfrohna,141,50.86,12.75
Marienwerder,141,53.73,18.93
Schwabach,141,49.33,11.02
Tegernsee,141,47.71,11.75
Adloun,140,33.40,35.27
Aktjubinsk,140,39.78,-100.45
Bielsko-Bia_a,140,49.82,19.04
Firenze,140,43.77,11.26
Irkutsk,140,52.29,104.28
Mumbai,140,18.95,72.83
Prokopjewsk,140,53.89,86.74
Ramat Gan,140,32.07,34.82
Rothenburg ob der Tauber,140,49.38,10.18
Schwaan,140,53.94,12.11
Sremska Mitrovica,140,44.97,19.62
Donauwšrth,139,48.72,10.78
Finowfurt,139,52.84,13.68
Gabrovo,139,42.94,25.21
Georgia,139,41.68,44.03
Gunzenhausen,139,49.11,10.75
Kappeln,139,54.66,9.93
Podujeve,139,42.91,21.19
Pozarevac,139,44.62,21.19
Prijedor,139,44.98,16.71
Resko,139,53.77,15.41
Santiago de Cuba,139,20.03,-75.83
Schwerin an der Warthe,139,52.60,15.50
St. Wendel,139,49.47,7.17
Sulingen,139,52.68,8.80
SŸrmene,139,40.81,40.06
Szeged,139,46.25,20.15
Leeds,138,53.80,-1.54
Mombasa,138,-4.04,39.65
Seehausen,138,52.89,11.75
Zielenzig,138,52.44,15.12
Gevelsberg,137,51.32,7.34
Gryfice,137,53.91,15.20
Ibadan,137,7.38,3.90
Kamie_ Pomorski,137,53.96,14.77
Lublinitz,137,50.67,18.68
Neuilly-Sur-Seine,137,48.88,2.27
Otterndorf,137,53.81,8.90
Bergneustadt,136,51.02,7.65
Gliwice,136,50.29,18.67
Sanliurfa,136,37.16,38.79
Wermelskirchen,136,51.14,7.22
Alaca,135,40.16,34.92
Bad DŸrkheim,135,49.46,8.17
Bad DŸrrenberg,135,51.30,12.07
Brescia,135,45.54,10.22
Deutsch Krone,135,53.27,16.47
Gronau,135,52.21,7.02
Guadalajara,135,40.74,-2.51
Hung Yen,135,20.82,106.03
Isparta,135,37.77,30.56
Kšlleda,135,51.19,11.24
Loznica,135,44.54,19.23
Neustadt in Holstein,135,54.11,10.81
Nowogard,135,53.67,15.12
Olesnica,135,51.21,17.38
Petershagen,135,52.38,8.97
Sulzbach-Rosenberg,135,49.50,11.75
Tczew,135,54.09,18.80
Virginia,135,37.12,-78.49
Arad,134,46.29,21.89
Jiangxi,134,28.00,116.00
Odense,134,55.40,10.39
Szprotawa,134,51.56,15.54
Varazdin,134,46.31,16.34
Yildizeli,134,39.90,36.50
Yomra,134,40.85,39.85
DŸlmen,133,51.83,7.28
Nevsehir,133,38.62,34.71
Pretoria,133,-25.73,28.18
Radolfzell am Bodensee,133,47.77,9.00
Tresnjevica,133,43.87,21.32
Wisconsin,133,44.43,-89.69
Bunzlau,132,51.26,15.57
Cadiz,132,36.52,-6.28
Lome,132,6.13,1.22
Maribor,132,46.56,15.64
Nowokusnezk,132,53.76,87.14
Tschernowzy,132,39.78,-100.45
Winterthur,132,47.50,8.73
Arpacay,131,40.61,43.70
Biedenkopf,131,50.92,8.53
Bordeaux,131,44.84,-0.58
GrŠfenhainichen,131,51.73,12.46
Heckelberg,131,52.74,13.84
Kemerowo,131,55.36,86.09
Naila,131,50.33,11.71
Nottingham,131,52.95,-1.15
Petropawlowsk,131,53.02,158.65
Plettenberg,131,51.21,7.87
Sagan,131,51.62,15.31
Slawno,131,54.36,16.68
Swidnica,131,50.84,16.49
Ukraine,131,49.49,31.27
Cork,130,51.90,-8.47
Kathmandu,130,27.71,85.31
Kosice,130,48.72,21.25
Luban,130,26.82,18.12
Salerno,130,40.68,14.77
Samarkand,130,39.65,66.98
Schwalmstadt,130,50.91,9.21
Akhisar,129,38.92,27.84
Dubai,129,25.27,55.30
Kitzingen,129,49.73,10.16
Szamotuly,129,52.61,16.58
Verona,129,45.44,10.99
Wels,129,48.16,14.02
Bad Elster,128,50.28,12.24
Brieg,128,48.10,-4.00
Calgary,128,51.05,-114.06
Inowroclaw,128,52.80,18.26
Kamp-Lintfort,128,51.50,6.55
Khartoum,128,15.59,32.54
KŸnzelsau,128,49.28,9.69
Metz,128,49.12,6.18
Montpellier,128,43.61,3.88
Neuenkirchen,128,49.35,6.56
Rheinhausen,128,51.40,6.69
Teplitz,128,50.64,13.82
Curitiba,127,-25.43,-49.27
Ehringshausen,127,50.60,8.38
Gšteborg,127,57.71,11.97
GrŸnstadt,127,49.57,8.16
Tjumen,127,57.15,65.54
Hachenburg,126,50.66,7.83
Heinsberg,126,51.07,6.10
Ankum,125,52.54,7.87
Breisach am Rhein,125,48.03,7.58
Eggenfelden,125,48.40,12.76
Gro§-Schšnebeck,125,52.93,13.58
Gro§-Umstadt,125,49.87,8.93
Isfahan,125,32.67,51.67
Kandel,125,49.08,8.20
Kingston,125,17.97,-76.79
Koscian,125,52.09,16.65
Nazilli,125,37.94,28.33
Niesky,125,51.29,14.82
†nye,125,41.13,37.29
Ellwangen (Jagst),124,48.96,10.13
Hoya,124,52.81,9.14
Kevelaer,124,51.58,6.25
Marienbad,124,46.70,17.41
MŸnden,124,51.42,9.66
Dernbach,123,50.54,7.92
Merzifon,123,40.84,35.47
Minnesota,123,45.99,-94.61
Rehovot,123,31.90,34.81
Saarburg,123,49.61,6.55
Sarafand,123,33.45,35.30
Steinheim,123,51.87,9.09
Ardahan,122,41.11,42.70
Bretten,122,49.04,8.71
Cosel,122,51.38,13.94
Eisfeld,122,50.43,10.91
Hadamar,122,50.45,8.05
Hofheim am Taunus,122,50.09,8.45
Liepaja,122,56.51,21.02
Menden,122,51.44,7.80
Nancy,122,48.69,6.18
Oberkirch,122,48.53,8.08
Sevlievo,122,43.03,25.10
Steyr,122,48.04,14.42
Bihac,121,44.81,15.87
Dohuk,121,37.04,43.10
Friesoythe,121,53.02,7.85
Konak,121,38.41,27.13
Kozuchow,121,51.75,15.59
Les Lilas,121,48.88,2.42
Limburg an der Lahn,121,50.39,8.06
Messina,121,38.19,15.55
Phu Tho,121,21.30,105.09
Srebrenica,121,44.11,19.30
Wedel,121,53.58,9.70
Cholargos,120,38.00,23.80
Friesack,120,52.74,12.58
Klštze,120,52.63,11.17
Ninh Binh,120,20.25,105.98
Ronneburg,120,50.86,12.18
Salihli,120,38.57,28.20
Telgte,120,51.98,7.78
Thale,120,51.75,11.04
Zara,120,44.12,15.22
Antwerpen,119,51.22,4.40
Canberra,119,-35.28,149.13
Cherson,119,46.64,32.61
Lovech,119,43.13,24.72
Murcia,119,37.99,-1.13
Przemysl,119,49.78,22.77
Roth,119,49.25,11.09
Tšnisvorst,119,51.31,6.46
Urfa,119,37.16,38.79
Wildau,119,52.32,13.63
Bad Ems,118,50.34,7.71
Brno,118,49.19,16.61
Erding,118,48.31,11.91
Gerede,118,40.71,32.33
Gnoien,118,53.97,12.71
Gradacac,118,44.88,18.43
Kazanlak,118,42.62,25.40
Kopejsk,118,39.78,-100.45
Krievija,118,64.69,97.75
Mazgirt,118,38.94,39.73
SchwabmŸnchen,118,48.18,10.76
Swiecie,118,53.41,18.45
Winsen (Luhe),118,53.36,10.21
Zavidovici,118,44.44,18.15
Binz,117,54.42,13.58
Daegu,117,35.84,128.56
Ferizaj,117,42.37,21.16
Haltern,117,52.13,7.27
Haskšy,117,38.68,41.69
Kolo,117,46.64,14.30
Komotini,117,41.12,25.40
Marousi,117,38.05,23.81
Medellin,117,6.24,-75.57
Nienburg (Saale),117,51.84,11.77
Stadtoldendorf,117,51.88,9.63
Uslar,117,51.66,9.63
Wellington,117,-41.29,174.78
Willich,117,51.26,6.54
Xinjiang,117,41.05,85.94
Chorzow,116,50.30,18.95
Karakocan,116,38.96,40.04
Klingenthal,116,50.36,12.47
Malsch,116,48.88,8.33
Mechernich,116,50.59,6.65
Torul,116,40.51,39.21
Wolsztyn,116,52.11,16.12
Boppard,115,50.23,7.60
Goldap,115,54.31,22.30
Kamienna G—ra,115,50.78,16.03
Nusaybin,115,37.19,41.35
Udine,115,46.06,13.24
Vientiane,115,17.96,102.61
Vlore,115,40.47,19.49
Aksehir,114,38.37,31.45
Bad Liebenwerda,114,51.52,13.39
Brighton,114,50.82,-0.14
Cal,114,39.06,16.52
Dšmitz,114,53.14,11.26
Klettwitz,114,51.54,13.89
Machatschkala,114,42.98,47.50
Maryland,114,39.52,-76.94
Neuendettelsau,114,49.28,10.78
Nowawes,114,52.39,13.09
Peitz,114,51.86,14.41
Teocak,114,44.68,16.13
Trento,114,46.07,11.13
Arolsen,113,51.38,9.01
Bad Salzuflen,113,52.09,8.75
Bielawa,113,50.69,16.62
Bornova,113,38.47,27.26
Brasilia,113,-10.33,-53.20
Espoo,113,60.22,24.66
Goch,113,51.68,6.16
Medan,113,3.59,98.67
Nazimiye,113,39.20,39.85
Nijmegen,113,51.84,5.84
Nowy Sacz,113,49.62,20.69
Schopfheim,113,47.65,7.83
Suresnes,113,48.87,2.23
Vakfikebir,113,40.99,39.31
Abu Dhabi,112,24.47,54.37
Jelgava,112,56.65,23.73
Kirchen (Sieg),112,50.82,7.87
Lubsko,112,51.79,14.97
Misurata,112,32.38,15.09
Montana,112,47.38,-109.64
Nagold,112,48.55,8.72
